x,y,order,hole,piece,group,fips,abbr,full
-1132698.4,-1595946,380,FALSE,1,02.1,02,AK,Alaska
-1131091.9,-1594807,381,FALSE,1,02.1,02,AK,Alaska
-1129099.1,-1595012,382,FALSE,1,02.1,02,AK,Alaska
-1126238.0,-1590874,383,FALSE,1,02.1,02,AK,Alaska
-1123519.5,-1589555,384,FALSE,1,02.1,02,AK,Alaska
-1118437.8,-1584935,385,FALSE,1,02.1,02,AK,Alaska
-1112446.9,-1582316,386,FALSE,1,02.1,02,AK,Alaska
-1110895.6,-1582620,387,FALSE,1,02.1,02,AK,Alaska
-1108894.9,-1580787,388,FALSE,1,02.1,02,AK,Alaska
-1103942.6,-1582735,389,FALSE,1,02.1,02,AK,Alaska
-1099577.9,-1583947,390,FALSE,1,02.1,02,AK,Alaska
-1094192.1,-1586847,391,FALSE,1,02.1,02,AK,Alaska
-1093035.0,-1588668,392,FALSE,1,02.1,02,AK,Alaska
-1090262.6,-1588944,393,FALSE,1,02.1,02,AK,Alaska
-1086167.3,-1590834,394,FALSE,1,02.1,02,AK,Alaska
-1080926.3,-1591872,395,FALSE,1,02.1,02,AK,Alaska
-1075505.7,-1595187,396,FALSE,1,02.1,02,AK,Alaska
-1071908.1,-1594722,397,FALSE,1,02.1,02,AK,Alaska
-1068214.4,-1595635,398,FALSE,1,02.1,02,AK,Alaska
-1055800.7,-1650999,399,FALSE,1,02.1,02,AK,Alaska
-1025438.0,-1779110,400,FALSE,1,02.1,02,AK,Alaska
-1025430.3,-1779141,401,FALSE,1,02.1,02,AK,Alaska
-976430.7,-1968214,402,FALSE,1,02.1,02,AK,Alaska
-956333.6,-2040643,403,FALSE,1,02.1,02,AK,Alaska
-955175.5,-2044737,404,FALSE,1,02.1,02,AK,Alaska
-943675.6,-2045343,405,FALSE,1,02.1,02,AK,Alaska
-943479.4,-2040772,406,FALSE,1,02.1,02,AK,Alaska
-930988.6,-2043228,407,FALSE,1,02.1,02,AK,Alaska
-926764.1,-2033700,408,FALSE,1,02.1,02,AK,Alaska
-913513.5,-2028274,409,FALSE,1,02.1,02,AK,Alaska
-912916.0,-2029841,410,FALSE,1,02.1,02,AK,Alaska
-912085.5,-2041780,411,FALSE,1,02.1,02,AK,Alaska
-907288.9,-2044968,412,FALSE,1,02.1,02,AK,Alaska
-898292.3,-2046430,413,FALSE,1,02.1,02,AK,Alaska
-895194.9,-2051520,414,FALSE,1,02.1,02,AK,Alaska
-893272.8,-2052941,415,FALSE,1,02.1,02,AK,Alaska
-863226.6,-2068812,416,FALSE,1,02.1,02,AK,Alaska
-856697.0,-2079908,417,FALSE,1,02.1,02,AK,Alaska
-856058.0,-2083777,418,FALSE,1,02.1,02,AK,Alaska
-856040.4,-2083883,419,FALSE,1,02.1,02,AK,Alaska
-854279.5,-2083078,420,FALSE,1,02.1,02,AK,Alaska
-851629.1,-2077162,421,FALSE,1,02.1,02,AK,Alaska
-844771.8,-2067322,422,FALSE,1,02.1,02,AK,Alaska
-844258.6,-2066068,423,FALSE,1,02.1,02,AK,Alaska
-838829.3,-2063607,424,FALSE,1,02.1,02,AK,Alaska
-838356.5,-2058349,425,FALSE,1,02.1,02,AK,Alaska
-838240.5,-2057042,426,FALSE,1,02.1,02,AK,Alaska
-841417.6,-2048742,427,FALSE,1,02.1,02,AK,Alaska
-838576.7,-2048387,428,FALSE,1,02.1,02,AK,Alaska
-837066.4,-2043810,429,FALSE,1,02.1,02,AK,Alaska
-837707.8,-2042258,430,FALSE,1,02.1,02,AK,Alaska
-840913.8,-2041371,431,FALSE,1,02.1,02,AK,Alaska
-838026.0,-2038076,432,FALSE,1,02.1,02,AK,Alaska
-832998.8,-2034796,433,FALSE,1,02.1,02,AK,Alaska
-829060.3,-2029682,434,FALSE,1,02.1,02,AK,Alaska
-824952.2,-2024307,435,FALSE,1,02.1,02,AK,Alaska
-817737.3,-2026801,436,FALSE,1,02.1,02,AK,Alaska
-816793.5,-2028162,437,FALSE,1,02.1,02,AK,Alaska
-813870.4,-2029134,438,FALSE,1,02.1,02,AK,Alaska
-810892.2,-2031082,439,FALSE,1,02.1,02,AK,Alaska
-809301.1,-2035173,440,FALSE,1,02.1,02,AK,Alaska
-809284.7,-2037986,441,FALSE,1,02.1,02,AK,Alaska
-807293.4,-2039322,442,FALSE,1,02.1,02,AK,Alaska
-807089.6,-2041144,443,FALSE,1,02.1,02,AK,Alaska
-807088.3,-2041155,444,FALSE,1,02.1,02,AK,Alaska
-804438.6,-2043519,445,FALSE,1,02.1,02,AK,Alaska
-798061.5,-2042573,446,FALSE,1,02.1,02,AK,Alaska
-796013.0,-2045272,447,FALSE,1,02.1,02,AK,Alaska
-792884.4,-2046773,448,FALSE,1,02.1,02,AK,Alaska
-790967.6,-2045966,449,FALSE,1,02.1,02,AK,Alaska
-787011.0,-2049260,450,FALSE,1,02.1,02,AK,Alaska
-786424.2,-2052157,451,FALSE,1,02.1,02,AK,Alaska
-784550.5,-2052037,452,FALSE,1,02.1,02,AK,Alaska
-784542.4,-2052058,453,FALSE,1,02.1,02,AK,Alaska
-783775.9,-2054055,454,FALSE,1,02.1,02,AK,Alaska
-780889.3,-2056111,455,FALSE,1,02.1,02,AK,Alaska
-769252.0,-2058024,456,FALSE,1,02.1,02,AK,Alaska
-763833.3,-2062128,457,FALSE,1,02.1,02,AK,Alaska
-753218.7,-2067066,458,FALSE,1,02.1,02,AK,Alaska
-754271.5,-2069822,459,FALSE,1,02.1,02,AK,Alaska
-749426.2,-2073832,460,FALSE,1,02.1,02,AK,Alaska
-743333.8,-2077583,461,FALSE,1,02.1,02,AK,Alaska
-743314.2,-2077595,462,FALSE,1,02.1,02,AK,Alaska
-738149.3,-2083377,463,FALSE,1,02.1,02,AK,Alaska
-730375.5,-2088310,464,FALSE,1,02.1,02,AK,Alaska
-725112.3,-2093354,465,FALSE,1,02.1,02,AK,Alaska
-720754.9,-2096941,466,FALSE,1,02.1,02,AK,Alaska
-716617.8,-2100326,467,FALSE,1,02.1,02,AK,Alaska
-709128.1,-2105257,468,FALSE,1,02.1,02,AK,Alaska
-703799.5,-2109982,469,FALSE,1,02.1,02,AK,Alaska
-704190.0,-2116707,470,FALSE,1,02.1,02,AK,Alaska
-695827.2,-2115160,471,FALSE,1,02.1,02,AK,Alaska
-694215.0,-2123097,472,FALSE,1,02.1,02,AK,Alaska
