x,y,order,hole,piece,group,fips,abbr,full,county
-1162309.5,-2044938,1456,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1159978.1,-2037918,1457,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1152109.7,-2032159,1458,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1149509.6,-2031708,1459,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1147746.3,-2034350,1460,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1132048.2,-2031495,1461,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1127473.3,-2060178,1462,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1133402.2,-2061285,1463,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1132614.1,-2067047,1464,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1139143.2,-2068240,1465,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1139988.4,-2062487,1466,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1143738.6,-2060204,1467,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1147686.2,-2060897,1468,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1157053.5,-2057651,1469,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1156434.2,-2057034,1470,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1159459.7,-2054226,1471,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1163745.4,-2051748,1472,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1165175.2,-2051341,1473,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1169433.6,-2053234,1474,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1168861.8,-2051346,1475,FALSE,1,02020.1,02020,AK,Alaska,Anchorage Municipality
-1504871.5,-2091645,1476,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1501194.3,-2090502,1477,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1498003.6,-2086987,1478,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1496153.1,-2086405,1479,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1496429.4,-2084009,1480,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1497016.1,-2082516,1481,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1496577.3,-2079184,1482,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1497548.8,-2075185,1483,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
-1498023.0,-2074479,1484,FALSE,1,02050.1,02050,AK,Alaska,Bethel Census Area
